111
65.16370630264282,1
70.20737528800964,2
95.13170838356018,3
119.38592600822449,4
200.53168845176697,5
227.4892497062683,6
229.5063886642456,7
233.53759384155273,8
245.62491393089294,9
332.32222270965576,10
340.6957287788391,11
456.5630564689636,12
502.3990514278412,13
541.7873146533966,14
561.9500453472137,15
571.1640996932983,16
571.2094917297363,17
571.2466039657593,18
571.3291907310486,19
611.8058400154114,20
632.5071711540222,21
672.3113236427307,22
871.1983907222748,23
871.2193236351013,24
884.50146317482,25
892.5737562179565,26
